2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-74'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-92'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-96'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10907200-98'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-02'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-04'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-17'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-29'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-45'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-77'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '10915123-91'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-02'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-39'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-46'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-47'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-63'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-64'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-77'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-79'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11021494-83'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-10'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-17'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-41'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-47'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-56'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-62'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11088160-88'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-04'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-20'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-36'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-58'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-59'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-79'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-86'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-91'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11211161-97'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-43'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-48'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-57'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-73'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-76'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-84'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-89'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11221936-98'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272322-09'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272322-17'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272322-68'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272322-96'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-07'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-28'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-32'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-45'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-51'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-59'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11272488-73'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-01'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-02'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-18'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-64'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-67'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-69'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-71'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11298864-72'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11382932-03'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11382932-17'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11382932-94'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11490737-10'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11490737-13'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11490737-49'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11490737-59'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11490737-77'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11490737-78'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-20'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-24'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-44'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-57'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-58'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-66'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-69'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11699141-72'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-19'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-22'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-39'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-50'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-56'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-57'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-62'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-73'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-76'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-82'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11737938-87'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-03'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-07'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-12'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-25'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-27'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-68'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-81'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-90'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-91'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-97'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '11877984-98'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-02'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-36'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-48'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-54'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-75'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-80'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-86'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090216-91'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090257-45'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090257-52'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090257-62'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090257-74'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12090257-82'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12154357-33'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12154357-78'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12167453-07'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12167453-09'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12167453-31'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12167453-50'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12167453-62'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12167453-64'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12171217-07'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12171217-24'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12171217-38'}
2025-09-23 12:20:55 [INFO] [movement_files] load_movements called with {'drone_id': '12171217-54'}
